trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
948070,15,1,"ST. ELMO/INCLINE",,1,1907,shp-15-01,1,2
968020,33,2,"SHUTTLE PARK SOUTH",,1,4502,shp-33-04,1,2
971010,1,3,"DOWNTOWN",,1,101,shp-1-66,1,1
974020,14,2,"MOCS EXPRESS",,0,1402,shp-14-53,1,1
986020,3,2,"ENTERPRISE SOUTH",,0,6402,shp-3-18,1,1
988070,34,1,"TREMONT + FRAZIER",,0,5307,shp-34-54,1,2
1971010,4,3,"EASTGATE HAMILTON PL",,0,5901,shp-4-10,1,1
1975020,4,2,"DOWNTOWN",,1,6102,shp-4-64,1,1
1976070,16,1,"NORTHGATE",,0,9907,shp-16-13,1,1
1980070,33,1,"TREMONT + FRAZIER",,0,5007,shp-33-53,1,2
1984020,14,2,"MOCS EXPRESS",,0,1402,shp-14-52,1,1
1995020,33,2,"TREMONT + FRAZIER",,0,4902,shp-33-53,1,2
1999020,4,2,"EASTGATE HAMILTON PL",,0,7202,shp-4-13,1,1
2029020,4,2,"EASTGATE HAMILTON PL",,1,6102,shp-4-70,1,1
2039020,33,2,"SHUTTLE PARK SOUTH",,1,4202,shp-33-04,1,2
2042020,4,2,"EASTGATE HAMILTON PL",,0,6902,shp-4-13,1,1
2047010,33,3,"SHUTTLE PARK SOUTH",,1,4901,shp-33-04,1,2
2048010,33,3,"SHUTTLE PARK SOUTH",,1,5101,shp-33-04,1,2
2062020,1,2,"DOWNTOWN",,1,2202,shp-1-66,1,1
2064070,2,1,"NORTH SHORE",,1,3307,shp-2-01,1,2
207020,33,2,"TREMONT + FRAZIER",,0,4902,shp-33-53,1,2
2074070,9,1,"EAST LAKE",,0,8707,shp-9-03,1,1
2081020,33,2,"TREMONT + FRAZIER",,0,4502,shp-33-53,1,2
2099020,10G,2,"DOWNTOWN",,1,2202,shp-10G-54,1,1
2105020,33,2,"SHUTTLE PARK SOUTH",,1,4802,shp-33-04,1,2
211020,14,2,"MOCS EXPRESS",,0,1402,shp-14-52,1,1
2127020,33,2,"TREMONT + FRAZIER",,0,4902,shp-33-53,1,2
2136070,16,1,"NORTHGATE",,0,9007,shp-16-13,1,1
2138020,14,2,"MOCS EXPRESS",,1,1202,shp-14-04,1,1
2165020,21,2,"DOWNTOWN",,1,3402,shp-21-52,1,1
2173020,33,2,"TREMONT + FRAZIER",,0,5102,shp-33-53,1,2
2176020,14,2,"MOCS EXPRESS",,1,1302,shp-14-04,1,1
2200070,33,1,"TREMONT + FRAZIER",,0,4907,shp-33-53,1,2
2205020,14,2,"MOCS EXPRESS",,0,1302,shp-14-52,1,1
222010,34,3,"TREMONT + FRAZIER",,0,5301,shp-34-54,1,2
2228020,33,2,"SHUTTLE PARK SOUTH",,1,4902,shp-33-04,1,2
2231020,14,2,"MOCS EXPRESS",,1,1502,shp-14-04,1,1
2235010,34,3,"TREMONT + FRAZIER",,0,5301,shp-34-54,1,2
2247070,33,1,"TREMONT + FRAZIER",,0,5007,shp-33-53,1,2
2249010,33,3,"TREMONT + FRAZIER",,0,5001,shp-33-53,1,2
2255070,10A,1,"DOWNTOWN",,1,807,shp-10A-52,1,1
2265070,2,1,"NORTH SHORE",,1,3307,shp-2-01,1,2
2283020,4,2,"EASTGATE HAMILTON PL",,0,6902,shp-4-13,1,1
2296070,10G,1,"DOWNTOWN",,1,2507,shp-10G-54,1,1
23010,33,3,"SHUTTLE PARK SOUTH",,1,5201,shp-33-04,1,2
2306020,33,2,"TREMONT + FRAZIER",,0,4202,shp-33-53,1,2
2307070,16,1,"DOWNTOWN",,1,9507,shp-16-20,1,1
2313020,33,2,"TREMONT + FRAZIER",,0,4302,shp-33-53,1,2
2326010,34,3,"SHUTTLE PARK SOUTH",,1,5301,shp-34-04,1,2
2329070,10G,1,"GLENWOOD",,0,2407,shp-10G-04,1,1
2337010,4,3,"EASTGATE HAMILTON PL",,0,6701,shp-4-13,1,1
2344020,33,2,"TREMONT + FRAZIER",,0,4302,shp-33-53,1,2
2347070,33,1,"SHUTTLE PARK SOUTH",,1,4207,shp-33-04,1,2
2364070,1,1,"ALTON PARK",,0,2507,shp-1-03,1,1
258010,10A,3,"DOWNTOWN/TO GARAGE",,1,2201,shp-10A-06,1,1
266010,33,3,"TREMONT + FRAZIER",,0,4401,shp-33-53,1,2
283020,33,2,"SHUTTLE PARK SOUTH",,1,4302,shp-33-04,1,2
286020,1,2,"DOWNTOWN",,1,2102,shp-1-65,1,1
