trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2281020,14,2,"MOCS EXPRESS",,1,1302,shp-14-04,1,1
2282020,14,2,"MOCS EXPRESS",,1,1402,shp-14-04,1,1
229020,4,2,"DOWNTOWN",,1,7202,shp-4-64,1,1
230070,2,1,"NORTH SHORE",,1,3307,shp-2-01,1,2
2302020,14,2,"MOCS EXPRESS",,1,1402,shp-14-04,1,1
2304010,15,3,"ST. ELMO/INCLINE",,0,2801,shp-15-52,1,2
2311070,21,1,"DOWNTOWN",,1,3407,shp-21-55,1,1
2325070,1,1,"DOWNTOWN",,1,2107,shp-1-65,1,1
2328070,21,1,"DOWNTOWN",,1,3407,shp-21-52,1,1
2331020,14,2,"MOCS EXPRESS",,1,1402,shp-14-04,1,1
2335020,4,2,"EASTGATE HAMILTON PL",,0,6002,shp-4-10,1,1
2338070,16,1,"DOWNTOWN",,1,9907,shp-16-20,1,1
2346020,14,2,"MOCS EXPRESS",,1,1502,shp-14-04,1,1
2349010,1,3,"ALTON PARK",,0,2101,shp-1-03,1,1
235020,2,2,"NORTH SHORE",,0,3702,shp-2-51,1,2
2360070,33,1,"TREMONT + FRAZIER",,0,4207,shp-33-53,1,2
244020,4,2,"EASTGATE HAMILTON PL",,0,5702,shp-4-13,1,1
247070,33,1,"SHUTTLE PARK SOUTH",,1,5007,shp-33-04,1,2
256070,33,1,"TREMONT + FRAZIER",,0,4807,shp-33-53,1,2
