stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
212,1597,"Dodson & Daisy 1-0",,35.066090,-85.253410,,,,,,2
213,1587,"Dodson & Appling 1-0",,35.067350,-85.252710,,,,,,2
214,1599,"Dodson & Fairleigh 1-0",,35.068440,-85.252130,,,,,,2
215,1589,"Dodson & Bachman 1-0",,35.069590,-85.251510,,,,,,2
216,1596,"Dodson & Cushman 1-0",,35.070700,-85.250901,,,,,,2
217,2412,"Stuart & Dod-1",,35.071817,-85.250265,,,,,,2
219,2601,"ERLANGER HEALTH CENTER",,35.050547,-85.261868,,,,,,2
221,11,"HIGHWAY 58 + JERSEY PIKE",,35.093335,-85.179873,,,,,,2
222,1890,"Jersey Pike & Goodwill",,35.091190,-85.180710,,,,,,2
223,2028,"Jersey Pike & Oakwood-1",,35.088150,-85.182470,,,,,,2
225,1895,"Highway 58 & Webb Road-1",,35.086322,-85.191790,,,,,,2
226,1274,"BONNY OAKS + ACCESS",,35.080873,-85.213935,,,,,,2
229,1423,"Campbell & Birchwood-1",,35.073500,-85.237990,,,,,,2
231,2415,"STUART + WHEELER",,35.070900,-85.247500,,,,,,2
232,2413,"STUART + TAYLOR",,35.071400,-85.248840,,,,,,2
233,1595,"DODSON + CUSHMAN",,35.070907,-85.250956,,,,,,2
234,1590,"DODSON + BACHMAN",,35.069710,-85.251590,,,,,,2
235,1600,"DODSON + FAIRLEIGH",,35.068550,-85.252210,,,,,,2
236,1588,"DODSON + APPLING",,35.067480,-85.252800,,,,,,2
237,1598,"DODSON + DAISY",,35.065851,-85.253687,,,,,,2
238,1594,"DODSON + CRUTCHFIELD",,35.064340,-85.254510,,,,,,2
253,1766,"ROANOKE + OLIVE",,35.057870,-85.261680,,,,,,2
254,1764,"ROANOKE + OCOEE",,35.056650,-85.262330,,,,,,2
255,1757,"ROANOKE + CAMDEN",,35.055510,-85.262960,,,,,,2
256,1770,"ROANOKE + WILCOX NW",,35.053890,-85.263870,,,,,,2
257,1774,"ROANOKE + WILSON",,35.052230,-85.264780,,,,,,2
258,1762,"ROANOKE + LAURA",,35.051390,-85.265250,,,,,,2
259,1759,"ROANOKE + COOLEY",,35.050590,-85.265690,,,,,,2
260,1768,"ROANOKE + PORTLAND",,35.049780,-85.266140,,,,,,2
262,2305,"OKNOB + MILNE",,35.048520,-85.268050,,,,,,2
263,2297,"OKNOB + CARSON",,35.047190,-85.268780,,,,,,2
264,2299,"OKNOB + CITICO",,35.046020,-85.269410,,,,,,2
265,2303,"OKNOB + JACKSON",,35.044720,-85.270110,,,,,,2
266,2301,"OKNOB + CLEVELAND",,35.043240,-85.270920,,,,,,2
269,1130,"3rd & Hawthorne-1",,35.041440,-85.273230,,,,,,2
270,1136,"3rd & Holly-1",,35.042606,-85.276567,,,,,,2
271,1125,"3rd & Highland Park-1",,35.043210,-85.278068,,,,,,2
272,1138,"3rd & Holtzclaw-1",,35.043823,-85.279778,,,,,,2
274,1150,"3rd & Scruggs-1",,35.045887,-85.285467,,,,,,2
275,1146,"3rd & O'Neal-1",,35.046360,-85.286610,,,,,,2
276,1119,"3rd & Central-1",,35.046905,-85.288153,,,,,,2
277,1154,"3rd & Wiehl-1-0",,35.047770,-85.290476,,,,,,2
278,1127,"3rd & Hampton-1-0",,35.048283,-85.291836,,,,,,2
279,1148,"3rd & Palmetto-1",,35.048743,-85.293085,,,,,,2
280,1122,"3rd & Collins-1",,35.049500,-85.294368,,,,,,2
281,1124,"3rd & CSAS",,35.049959,-85.295519,,,,,,2
282,1142,"3rd & Mabel-1",,35.051347,-85.299509,,,,,,2
283,1139,"3rd & Houston1",,35.052040,-85.301260,,,,,,2
284,1140,"3rd & Lindsay 1",,35.052600,-85.302620,,,,,,2
285,1131,"3rd & High 1",,35.053550,-85.305330,,,,,,2
286,1151,"3rd & Walnut1",,35.053610,-85.307450,,,,,,2
287,1120,"3rd & Cherry1",,35.053590,-85.308540,,,,,,2
288,10,"Stuart & Dodson",,35.071853,-85.250243,,,,,,2
292,1481,"Chamberlain & Cushman-1",,35.069360,-85.246910,,,,,,2
293,1471,"Chamberlain & Boone-1",,35.068270,-85.247520,,,,,,2
294,1485,"Chamberlain & Fairleigh-1",,35.067170,-85.248120,,,,,,2
296,1424,"CAMPBELL + GLASS",,35.067430,-85.243250,,,,,,2
299,1419,"CAMPBELL + BATTERY HEIGHTS",,35.072380,-85.241350,,,,,,2
300,1427,"CAMPBELL + N.Y. AVE",,35.073392,-85.237875,,,,,,2
301,1278,"BONNY OAKS + PARKWAY",,35.073990,-85.234790,,,,,,2
302,1279,"BONNY OAKS + TUGALOO",,35.074535,-85.233204,,,,,,2
306,1889,"HIGHWAY 58 + INWOOD",,35.084704,-85.198712,,,,,,2
307,1893,"HIGHWAY 58 + ROCKY RIVER",,35.085260,-85.194533,,,,,,2
308,1885,"HIGHWAY 58 + BRIARWOOD",,35.085800,-85.192822,,,,,,2
309,1888,"HIGHWAY 58 + HAL DRIVE",,35.086241,-85.191813,,,,,,2
310,1886,"HIGHWAY 58 + FOOD LION",,35.087718,-85.189366,,,,,,2
312,1143,"3RD + OKNOB",,35.040840,-85.272150,,,,,,2
313,1155,"3RD + WILLOW",,35.039850,-85.269390,,,,,,2
314,2545,"WILLOW + 4TH",,35.039070,-85.269750,,,,,,2
315,2547,"WILLOW + 5TH",,35.038310,-85.270130,,,,,,2
316,2553,"WILLOW + IVY",,35.037430,-85.270520,,,,,,2
317,2559,"WILLOW + VINE",,35.036610,-85.270960,,,,,,2
318,2557,"WILLOW + OAK",,35.035780,-85.271420,,,,,,2
319,2551,"WILLOW + DUNCAN",,35.034130,-85.272340,,,,,,2
320,2549,"WILLOW + CHAMBERLAIN",,35.033300,-85.272790,,,,,,2
321,1255,"BAILEY AVE + KELLY",,35.031780,-85.271830,,,,,,2
322,1256,"BAILEY AVE + LYERLY",,35.031230,-85.270330,,,,,,2
323,1583,"DODDS + DUNCAN",,35.030960,-85.264220,,,,,,2
324,1698,"GLENWOOD + OAK",,35.032745,-85.263306,,,,,,2
325,1704,"GLENWOOD + VINE",,35.033410,-85.262850,,,,,,2
326,1687,"GLENWOOD + 5TH",,35.035133,-85.261991,,,,,,2
327,1685,"GLENWOOD + 4TH",,35.035954,-85.261541,,,,,,2
328,1681,"GLENWOOD + 3RD",,35.036792,-85.261081,,,,,,2
329,1684,"GLENWOOD + 418 GLENWOOD",,35.038610,-85.261010,,,,,,2
330,1700,"GLENWOOD + PARKWOOD",,35.039820,-85.259340,,,,,,2
332,1702,"GLENWOOD + ROBBINS",,35.042600,-85.257750,,,,,,2
333,1696,"GLENWOOD + MISSION",,35.045150,-85.256870,,,,,,2
334,1678,"GLENWOOD + 1016 GLENWOOD",,35.046360,-85.256750,,,,,,2
335,1680,"GLENWOOD + 1208 GLENWOOD",,35.048200,-85.256620,,,,,,2
336,1689,"GLENWOOD + CHAMBERLAIN",,35.049440,-85.257620,,,,,,2
337,1497,"CHAMBERLAIN + POLK",,35.050570,-85.257070,,,,,,2
338,1499,"CHAMBERLAIN + WILCOX",,35.051628,-85.256486,,,,,,2
339,1495,"CHAMBERLAIN + OLIVE",,35.055090,-85.254580,,,,,,2
340,1486,"CHAMBERLAIN + GILBERT",,35.055950,-85.254110,,,,,,2
342,1492,"CHAMBERLAIN + MCRAE",,35.057790,-85.253120,,,,,,2
343,1472,"CHAMBERLAIN + BRAGG",,35.059330,-85.252280,,,,,,2
344,1482,"CHAMBERLAIN + EMMA",,35.060900,-85.251410,,,,,,2
345,1478,"CHAMBERLAIN + CRUTCHFIELD",,35.062730,-85.250430,,,,,,2
346,1490,"CHAMBERLAIN + LATTA",,35.064080,-85.249670,,,,,,2
347,1488,"CHAMBERLAIN + GLASS",,35.065426,-85.248962,,,,,,2
348,1276,"BONNY OAKS + ADDISON",,35.079470,-85.227200,,,,,,2
349,2555,"WILLOW + MCCALLIE",,35.035000,-85.271850,,,,,,2
350,1484,"CHAMBERLAIN + FAIRLEIGH",,35.067040,-85.248040,,,,,,2
351,1470,"CHAMBERLAIN + BOONE",,35.068420,-85.247270,,,,,,2
352,1480,"CHAMBERLAIN + CUSHMAN",,35.069220,-85.246840,,,,,,2
353,1498,"CHAMBERLAIN + STUART",,35.070250,-85.246260,,,,,,2
354,2942,"SHOLAR + CARTA",,35.056362,-85.268434,,,,,,2
360,1489,"Chamberlain & Glass1",,35.064994,-85.249291,,,,,,2
361,1491,"Chamberlain & Latta-1",,35.064000,-85.249880,,,,,,2
362,1479,"Chamberlain & Crutchfield-1",,35.062890,-85.250480,,,,,,2
363,1483,"Chamberlain & Emma-1",,35.061010,-85.251510,,,,,,2
364,1473,"Chamberlain & Bragg-1",,35.059500,-85.252330,,,,,,2
365,1493,"Chamberlain & Mcrae-1",,35.057920,-85.253200,,,,,,2
366,1487,"Chamberlain & Gilbert-1",,35.056330,-85.254050,,,,,,2
367,1496,"Chamberlain & Olive-1",,35.055210,-85.254680,,,,,,2
368,1494,"Chamberlain & Ocoee-1",,35.054090,-85.255290,,,,,,2
369,1477,"Chamberlain & Camden-1",,35.052950,-85.255910,,,,,,2
370,1500,"Chamberlain & Wilcox-1",,35.051840,-85.256530,,,,,,2
371,1692,"Glenwood & Laura-1",,35.047960,-85.256660,,,,,,2
372,1679,"Glenwood & 1101-1",,35.046250,-85.256890,,,,,,2
373,1697,"Glenwood & Mission-1",,35.045240,-85.256990,,,,,,2
374,1695,"Glenwood & Milne-1",,35.043580,-85.257360,,,,,,2
375,1703,"Glenwood & Robbins-1",,35.042700,-85.257870,,,,,,2
376,1701,"Glenwood & Parkwood-1",,35.039830,-85.259520,,,,,,2
377,1683,"Glenwood & 417-1",,35.038620,-85.261180,,,,,,2
378,1682,"Glenwood & 3rd-1",,35.037161,-85.261026,,,,,,2
379,2724,"Glenwood & 4th-1",,35.036110,-85.261600,,,,,,2
380,1688,"Glenwood & 5th-1",,35.035197,-85.262013,,,,,,2
381,1691,"Glenwood & Ivy-1",,35.034367,-85.262462,,,,,,2
382,1705,"Glenwood & Vine-1",,35.033547,-85.262944,,,,,,2
383,1699,"Glenwood & Oak-1",,35.032840,-85.263380,,,,,,2
384,1693,"Glenwood & McCallie-1",,35.031952,-85.263810,,,,,,2
390,2458,"Willow & Bailey-1",,35.032270,-85.273190,,,,,,2
391,2550,"Willow & Chamberlain-1",,35.033090,-85.272730,,,,,,2
392,2552,"Willow & Duncan-1",,35.033920,-85.272290,,,,,,2
393,2558,"Willow & Oak-1",,35.035550,-85.271370,,,,,,2
394,2560,"Willow & Vine-1",,35.036390,-85.270920,,,,,,2
395,2554,"Willow & Ivy-1",,35.037230,-85.270450,,,,,,2
396,2548,"Willow & 5th-1",,35.038040,-85.270030,,,,,,2
397,1156,"3rd & Willow-1",,35.040100,-85.269570,,,,,,2
398,2727,"3rd & Roanoke-1",,35.040430,-85.270460,,,,,,2
399,14,"3rd & Orchard Knob-1",,35.040894,-85.271953,,,,,,2
402,2779,"Challenger Center-0",,35.047500,-85.293870,,,,,,2
404,2781,"Palmetto & Vine-0",,35.045930,-85.294680,,,,,,2
405,2782,"Palmetto & Oak-0",,35.044950,-85.295230,,,,,,2
407,2236,"McCallie Ave & Applied Sciences Bld",,35.044253,-85.296986,,,,,,2
408,2234,"McCallie Ave & Campus Dr-1-0",,35.044965,-85.298893,,,,,,2
409,2240,"McCallie Ave & Douglas-1-0",,35.045965,-85.301546,,,,,,2
410,2784,"Douglas & 8th Street",,35.045210,-85.302140,,,,,,2
412,2260,"McCallie Ave & Frist Hall",,35.046424,-85.302708,,,,,,2
413,2249,"McCallie Ave & Houston-1-0",,35.046920,-85.304010,,,,,,2
423,1380,"Broad & 6th 1",,35.049550,-85.310777,,,,,,2
424,1382,"BROAD + 7TH",,35.048177,-85.310675,,,,,,2
428,1349,"BROAD + 16TH",,35.036777,-85.311746,,,,,,2
429,1351,"BROAD + 17TH",,35.035984,-85.312195,,,,,,2
430,1356,"BROAD + 20TH",,35.033487,-85.313564,,,,,,2
431,1360,"BROAD + 25TH",,35.028546,-85.316301,,,,,,2
432,1362,"BROAD + 26TH",,35.027699,-85.316761,,,,,,2
433,1364,"BROAD + 27TH",,35.025824,-85.317779,,,,,,2
434,1366,"BROAD + 28TH",,35.024913,-85.318282,,,,,,2
435,1369,"Broad & 31st",,35.020973,-85.320450,,,,,,2
