,f1,f1,f1,f2_season,f2_season,f2_season
season,fall,spring,summer,fall,spring,summer
solution,,,,,,
Baseline,115952.11666666667,115952.11666666667,115952.11666666667,879245.0902317648,809806.3135481741,1280652.529109306
Greedy-f1,111812.78600260417,111812.78600260417,111812.78600260417,865493.6346747065,797412.0121467861,1259497.8372243328
Greedy-f2,111867.88782552083,111867.88782552083,111867.88782552083,864036.8511970113,796104.435824004,1257241.9406996954
NSGA-II knee,111616.94729051943,111616.94729051943,111616.94729051943,813956.5938257058,749572.1028084472,1185380.0118728515
NSGA-II min-f1,110943.90607744435,110943.90607744435,110943.90607744435,820869.355469947,755985.5292702474,1195713.0735569764
NSGA-II min-f2,111942.45373428872,111942.45373428872,111942.45373428872,811724.084646271,747516.4087134541,1182062.8925158875
