feeder_route_short,connector_route_short,feeder_route_long,connector_route_long,n_transfers,total_hei,mean_hei,mean_wait_min,total_wait_min
14,13,Mocs Express,Rossville,23,4301.3013222072295,187.01310096553172,7.616666666666667,175.18333333333334
10A,4,Avondale,Eastgate/Hamilton Pl,48,4225.85736879468,88.0386951832225,3.603819444444445,172.98333333333335
9,10A,East Lake,Avondale,45,4213.124711206863,93.62499358237474,3.7759259259259257,169.91666666666666
1,28,Alton Park,Amnicola,18,4101.607183644964,227.86706575805354,9.51388888888889,171.25
28,10C,Amnicola,Campbell Street/Highway 58,29,4079.132077726041,140.65972681813935,5.860919540229885,169.96666666666667
28,21,Amnicola,Golden Gateway,17,4005.7384565412176,235.63167391418926,9.633333333333335,163.76666666666668
3,4,Enterprise South,Eastgate/Hamilton Pl,27,3964.8392223517053,146.84589712413722,5.9104938271604945,159.58333333333334
28,9,Amnicola,East Lake,16,3903.0224529488455,243.93890330930284,10.160416666666666,162.56666666666666
13,16,Rossville,Northgate Mall,55,3842.428623203129,69.86233860369326,2.9045454545454548,159.75
16,1,Northgate Mall,Alton Park,24,3757.405556622017,156.5585648592507,6.680555555555556,160.33333333333334
10C,16,Campbell Street/Highway 58,Northgate Mall,25,3596.788078161374,143.87152312645495,6.3933333333333335,159.83333333333334
10C,13,Campbell Street/Highway 58,Rossville,21,3571.4335609064547,170.06826480506928,7.211904761904761,151.45
10A,9,Avondale,East Lake,29,3500.5858494649324,120.70985687810112,5.449425287356322,158.03333333333333
33,10C,Downtown Shuttle,Campbell Street/Highway 58,20,3371.211515493659,168.56057577468295,7.128333333333333,142.56666666666666
1,10G,Alton Park,Glenwood,28,3352.692978051068,119.73903493039529,4.8619047619047615,136.13333333333333
2,21,North Shore,Golden Gateway,13,3339.2406436070733,256.8646648928518,10.196153846153846,132.55
10A,28,Avondale,Amnicola,15,3268.979722841243,217.93198152274954,9.16777777777778,137.51666666666668
21,2,Golden Gateway,North Shore,13,3147.3318067843356,242.1024466757181,9.657692307692308,125.55
9,16,East Lake,Northgate Mall,42,3050.531375342892,72.631699412926,3.0333333333333337,127.4
