stop_id,stop_name,stop_lat,stop_lon,is_sheltered,shade_factor,n_transfers,total_hei,total_hei_p90,mean_hei,mean_wait_min,mean_wbgt
278,3rd & Hampton-1-0,35.048283,-85.291836,False,1.0,1141,210430.51461779562,230441.21186133032,184.42639317948783,7.59975167981303,24.259865446590258
742,Market & TVA 0,35.043376,-85.309426,False,1.0,857,164283.29125607887,180052.18786009177,191.6957890969415,7.954823026059899,24.092224481693993
163,Market & Patton Towers 0-1,35.043863,-85.309327,False,1.0,622,120529.28129286754,132224.15888468397,193.7769795705266,8.090755627009646,23.959446872046378
1565,Shuttle Park North,35.054084,-85.311316,False,1.0,592,113111.43583714655,124113.2758131476,191.0666145897746,8.0,23.88762182012731
1555,Market & 6th-1-0,35.04898,-85.30956,False,1.0,564,111562.20304236312,122409.81745494744,197.80532454319703,8.252570921985816,23.954871150323864
179,3rd & O'Neal-1-0,35.046404,-85.287098,False,1.0,586,111342.87866496782,121914.59923008586,190.004912397556,7.821331058020478,24.282089836425342
144,Market & DRC1,35.040609,-85.308066,False,1.0,517,99160.05226756894,108766.92226559574,191.7989405562262,8.014023210831722,23.938144406757615
178,3rd & Central-1-0,35.04687,-85.28839,False,1.0,453,86293.02141552442,94494.66951352963,190.49232100557268,7.854304635761589,24.25528771772439
177,3rd & Wiehl-1-0,35.04772,-85.29066,False,1.0,442,83908.66163964407,91917.65973017707,189.83860099466983,7.843514328808447,24.190586604954213
2599,11tn & Broad,35.04388,-85.310445,False,1.0,501,78265.50158910688,85800.09748597669,156.2185660461215,6.521756487025948,23.929497336222344
1538,Carter & Hotel Bo,35.04461,-85.31226,False,1.0,503,77883.44172635693,85387.77292652427,154.8378563148249,6.4656063618290265,23.922257888171895
1539,10th & Library 0,35.04487,-85.31108,False,1.0,501,77490.86993495676,84962.17332174463,154.672395079754,6.459481037924152,23.91963115175484
2057,Market & King,35.040023,-85.307715,False,1.0,375,72238.12155019067,79249.6025195493,192.63499080050846,8.0596,23.904590111850318
277,3rd & Wiehl-1-0,35.04777,-85.290476,False,1.0,360,70026.3300265964,76683.151655506,194.51758340721224,7.993101851851852,24.334308636056832
413,McCallie Ave & Houston-1-0,35.04692,-85.30401,False,1.0,285,55617.821108466786,60871.78574934841,195.15024950339222,8.02637426900585,24.33004828092195
488,Broad & 7th Street,35.048522,-85.310436,False,1.0,267,51555.73803893999,56511.14426767943,193.0926518312359,8.029463171036205,24.056374992921995
2063,Market & 4th 0,35.052444,-85.309682,False,1.0,150,51028.77226418539,55853.85375387077,340.1918150945693,13.9,24.47015285321093
412,McCallie Ave & Frist Hall,35.046424,-85.302708,False,1.0,244,47754.012858453934,52265.972646573995,195.71316745268007,8.037021857923497,24.365595393017333
995,McCallie Ave & Palmetto-1-0,35.043839,-85.295824,False,1.0,236,46156.41372938194,50524.63269382045,195.57802427704212,8.028601694915254,24.354432189601685
408,McCallie Ave & Campus Dr-1-0,35.044965,-85.298893,False,1.0,235,46121.647057503455,50484.40444502291,196.26232790427002,8.054255319148936,24.370749474726125
409,McCallie Ave & Douglas-1-0,35.045965,-85.301546,False,1.0,234,46104.91033817642,50464.28819936654,197.0295313597283,8.082122507122508,24.38470345208701
17,Market & 11th 0,35.043764,-85.309437,False,1.0,217,41192.10445567024,45128.51843169436,189.82536615516238,7.832949308755761,24.188529493527216
